929001156612;1;1029;5
929001156612;1;1026;5
929001156612;1;1024;5
929001156612;1;1022;5
929001156612;1;1020;5
929001156612;1;1019;5
929001156612;10;1017;2
929001156612;4;1013;5
929001156812;10;1058;5
929001156812;6;1053;8
929001156812;10;1048;5
929001156812;1;1046;5
929001156812;1;1045;5
929001156812;1;1044;5
929001156812;1;1043;5
929001156812;1;1042;5
929001156812;1;1041;5
929001158011;4;1047;4
929001190808;6;1051;1
929001179901;4;1052;2
929001162371;8;1056;2
929001163871;8;1057;1
929001162471;8;1063;2
929001162471;4;1033;2
929001163971;4;1034;2
929001165007;4;1064;1
929001160911;6;1049;2
929001161011;6;1050;2
929001162071;4;1036;2
929001163571;4;1039;2
929001162271;4;1038;2
929001162271;6;1016;2
929001163771;8;1062;2
929001163771;4;1037;2
929001203871;8;1071;1
929001204171;8;1072;1
929001205071;8;1069;1
929001205371;8;1070;1
929001217811;10;1065;1
929001258242;4;1066;1
929001237242;4;1067;1
929001184508;10;1073;0
929001184708;10;1074;0
